epoch,phase,train_loss,val_loss,macro_accuracy,macro_precision,macro_recall,macro_specificity,macro_f1,macro_dice,macro_jaccard,macro_auc_roc,MEL_accuracy,MEL_precision,MEL_recall,MEL_specificity,MEL_f1,MEL_dice,MEL_jaccard,MEL_auc_roc,NV_accuracy,NV_precision,NV_recall,NV_specificity,NV_f1,NV_dice,NV_jaccard,NV_auc_roc,BCC_accuracy,BCC_precision,BCC_recall,BCC_specificity,BCC_f1,BCC_dice,BCC_jaccard,BCC_auc_roc,AKIEC_accuracy,AKIEC_precision,AKIEC_recall,AKIEC_specificity,AKIEC_f1,AKIEC_dice,AKIEC_jaccard,AKIEC_auc_roc,BKL_accuracy,BKL_precision,BKL_recall,BKL_specificity,BKL_f1,BKL_dice,BKL_jaccard,BKL_auc_roc,DF_accuracy,DF_precision,DF_recall,DF_specificity,DF_f1,DF_dice,DF_jaccard,DF_auc_roc,VASC_accuracy,VASC_precision,VASC_recall,VASC_specificity,VASC_f1,VASC_dice,VASC_jaccard,VASC_auc_roc
21,2,0.137046,0.207671,0.8172,0.7409,0.7698,0.9703,0.7355,0.7487,0.6511,0.9286,0.902,0.7513,0.7785,0.9378,0.7344,0.7344,0.4228,0.9219,0.9046,0.9488,0.8746,0.9498,0.9009,0.9009,0.7366,0.9359,0.9368,0.702,0.8595,0.9628,0.7212,0.7212,0.4077,0.9391,0.9781,0.6617,0.7915,0.9941,0.6719,0.6719,0.3475,0.9434,0.9311,0.791,0.6702,0.9853,0.7094,0.7094,0.3905,0.9095,0.9684,0.687,0.6901,0.9811,0.6815,0.6815,0.343,0.9544,0.9796,0.6834,0.7892,0.982,0.7318,0.7318,0.415,0.9432
22,2,0.124185,0.207065,0.8412,0.7603,0.786,0.9656,0.7811,0.7694,0.6791,0.9308,0.9379,0.7395,0.7756,0.9554,0.7746,0.7746,0.4931,0.92,0.9104,0.9693,0.8674,0.942,0.8863,0.8863,0.7021,0.9582,0.9561,0.7321,0.8688,0.9616,0.7482,0.7482,0.4383,0.953,0.9663,0.715,0.761,0.9807,0.7184,0.7184,0.4,0.9287,0.9499,0.7988,0.6895,0.9594,0.731,0.731,0.4221,0.9203,0.9698,0.6943,0.7099,1.0,0.7233,0.7233,0.417,0.93,0.9839,0.6956,0.809,0.9953,0.7402,0.7402,0.4348,0.9728
23,2,0.121437,0.195119,0.8177,0.7794,0.8162,0.9861,0.7739,0.7657,0.7014,0.9394,0.9442,0.743,0.7924,0.9579,0.7618,0.7618,0.4604,0.9137,0.8985,0.9533,0.8922,0.946,0.9178,0.9178,0.7804,0.9467,0.9442,0.7382,0.8616,0.9483,0.7769,0.7769,0.5034,0.9432,0.9765,0.7091,0.7871,0.9622,0.7496,0.7496,0.4498,0.9255,0.9742,0.8017,0.712,0.9713,0.7429,0.7429,0.4405,0.9189,0.9877,0.7133,0.7295,0.9867,0.72,0.72,0.4079,0.9714,0.9872,0.7163,0.84,0.9991,0.7625,0.7625,0.4701,0.9624
24,2,0.118677,0.192421,0.8451,0.7776,0.8012,0.9765,0.7745,0.7755,0.6904,0.9628,0.9476,0.7598,0.8056,0.954,0.784,0.784,0.502,0.9308,0.9244,0.9736,0.8954,0.9617,0.9007,0.9007,0.7428,0.9465,0.9583,0.7608,0.86,0.9647,0.7824,0.7824,0.4931,0.9495,0.9615,0.7035,0.7996,0.9747,0.744,0.744,0.4453,0.964,0.9441,0.8278,0.7303,0.9984,0.7533,0.7533,0.4551,0.922,0.9958,0.7133,0.7345,0.9759,0.751,0.751,0.461,0.9458,0.9799,0.7404,0.8176,0.9998,0.8033,0.8033,0.5419,0.9637
25,2,0.108488,0.199844,0.8646,0.7992,0.8138,0.9769,0.7828,0.8105,0.7131,0.9453,0.9481,0.7874,0.7957,0.9683,0.7773,0.7773,0.4948,0.9364,0.9113,0.9559,0.8931,0.9563,0.9216,0.9216,0.7811,0.9477,0.9545,0.7694,0.8746,0.9719,0.8182,0.8182,0.5667,0.9493,0.9945,0.7647,0.8031,1.0,0.7605,0.7605,0.4709,0.9249,0.9456,0.8444,0.7318,0.976,0.7788,0.7788,0.4975,0.9288,0.9757,0.7419,0.7797,0.9874,0.7546,0.7546,0.4609,0.9574,0.976,0.7493,0.8255,1.0,0.7645,0.7645,0.463,0.9577
26,2,0.114987,0.18886,0.87,0.8123,0.8157,0.9889,0.8163,0.8166,0.7353,0.9652,0.9406,0.7963,0.821,0.9582,0.8199,0.8199,0.5829,0.945,0.9233,0.9601,0.9197,0.951,0.9089,0.9089,0.76,0.9577,0.9719,0.7966,0.873,0.9845,0.7999,0.7999,0.5315,0.9395,0.9411,0.7594,0.8425,0.9617,0.776,0.776,0.4963,0.9313,0.9387,0.8521,0.7586,0.978,0.7749,0.7749,0.4899,0.9342,0.9743,0.7798,0.7706,0.9797,0.7784,0.7784,0.4965,0.951,0.9836,0.7677,0.8656,0.9676,0.8006,0.8006,0.531,0.9404
27,2,0.12301,0.187574,0.8929,0.8169,0.8505,0.9744,0.8192,0.8055,0.7444,0.9578,0.9531,0.8113,0.8426,0.9704,0.8263,0.8263,0.5707,0.9419,0.9315,0.9573,0.9214,0.9451,0.9378,0.9378,0.8298,0.9696,0.9804,0.7943,0.9,0.9527,0.8161,0.8161,0.5658,0.9829,0.9695,0.7693,0.8358,0.9892,0.7881,0.7881,0.5112,0.9374,0.9602,0.8536,0.7686,0.9816,0.8117,0.8117,0.5616,0.9528,0.9907,0.7883,0.7865,0.9801,0.7925,0.7925,0.5126,0.9483,0.9912,0.7832,0.8583,0.9913,0.8356,0.8356,0.6065,0.9796
28,2,0.105982,0.190203,0.8934,0.8462,0.8381,0.9694,0.8408,0.8322,0.7398,0.9639,0.9662,0.8047,0.8495,0.9803,0.8262,0.8262,0.5814,0.9592,0.9322,0.9629,0.9363,0.9576,0.9507,0.9507,0.8683,0.9588,0.9751,0.8199,0.899,0.9824,0.8262,0.8262,0.5756,0.9761,0.9786,0.7909,0.8374,0.9944,0.8086,0.8086,0.5471,0.9865,0.9528,0.8708,0.8011,0.9859,0.8293,0.8293,0.5853,0.9498,1.0,0.7898,0.7851,0.9862,0.7984,0.7984,0.5292,0.9607,0.9718,0.7739,0.8641,0.9978,0.8311,0.8311,0.5901,0.9586
29,2,0.101574,0.184835,0.9019,0.8462,0.8683,0.9662,0.8553,0.8368,0.7677,0.9394,0.9722,0.8258,0.8605,0.9729,0.8504,0.8504,0.6359,0.931,0.9503,0.9531,0.9333,0.9387,0.9601,0.9601,0.8965,0.9755,0.9694,0.8326,0.8934,0.9622,0.8457,0.8457,0.6244,0.9619,0.9733,0.7859,0.8502,0.9932,0.7815,0.7815,0.5027,0.9552,0.9599,0.8629,0.81,0.9766,0.8222,0.8222,0.5742,0.9329,0.9749,0.8214,0.8138,0.9864,0.8319,0.8319,0.5927,0.9433,0.9893,0.8123,0.8853,0.9958,0.8316,0.8316,0.5964,0.9516
30,2,0.100436,0.176571,0.9115,0.8707,0.8833,0.9801,0.8754,0.8589,0.7757,0.9644,0.9779,0.8437,0.8612,0.9746,0.8428,0.8428,0.6139,0.9349,0.9333,0.95,0.9251,0.9687,0.9606,0.9606,0.8905,0.9708,0.9785,0.8525,0.8937,0.9823,0.8422,0.8422,0.6189,0.9681,0.9745,0.8092,0.8209,0.9801,0.8375,0.8375,0.6049,0.9374,0.966,0.8905,0.839,0.997,0.8523,0.8523,0.6377,0.9375,0.9769,0.7954,0.8376,0.996,0.8268,0.8268,0.58,0.9637,0.9804,0.816,0.8748,0.9921,0.8406,0.8406,0.6112,0.9934
31,2,0.092348,0.174819,0.9169,0.8629,0.885,0.9842,0.86,0.8774,0.7784,0.9702,0.9774,0.863,0.8583,0.9865,0.8678,0.8678,0.6671,0.935,0.9422,0.9679,0.9496,0.9586,0.9455,0.9455,0.8388,0.9786,0.987,0.8427,0.9168,0.9906,0.8767,0.8767,0.6861,0.9609,0.979,0.8274,0.8329,0.9701,0.8397,0.8397,0.6095,0.967,0.9608,0.8841,0.8286,0.9752,0.8353,0.8353,0.6082,0.9331,0.9805,0.8434,0.8555,0.9746,0.8298,0.8298,0.5872,0.9644,0.9815,0.8305,0.9076,0.9733,0.8903,0.8903,0.7199,0.9585
32,2,0.097222,0.184915,0.93,0.8767,0.8917,0.9827,0.8829,0.8927,0.8125,0.9517,0.9849,0.8618,0.8723,0.9709,0.8631,0.8631,0.6613,0.9558,0.9655,0.9728,0.9496,0.938,0.9645,0.9645,0.9007,0.9755,0.982,0.87,0.9153,0.9711,0.8976,0.8976,0.735,0.9711,0.977,0.8344,0.858,0.9814,0.8566,0.8566,0.643,0.9724,0.9513,0.8848,0.8656,0.9706,0.8788,0.8788,0.6907,0.9413,1.0,0.8636,0.86,0.9518,0.8483,0.8483,0.631,0.9719,0.9814,0.8445,0.921,1.0,0.8832,0.8832,0.6955,0.9702
33,2,0.105788,0.178881,0.9251,0.8972,0.9044,1.0,0.8969,0.8994,0.8038,0.9701,0.9729,0.8859,0.8787,0.9912,0.8941,0.8941,0.7216,0.9658,0.9605,0.9663,0.9815,0.9549,0.9482,0.9482,0.8479,0.9914,1.0,0.8965,0.9376,0.9905,0.8948,0.8948,0.7233,0.9766,1.0,0.8812,0.8684,0.9862,0.8651,0.8651,0.6591,0.9612,0.9606,0.8983,0.8871,0.9748,0.8885,0.8885,0.7064,0.9425,0.984,0.8971,0.8591,0.9946,0.8627,0.8627,0.6574,0.9482,1.0,0.8675,0.9224,1.0,0.8871,0.8871,0.7033,0.9762
34,2,0.108085,0.1718,0.9405,0.9016,0.9091,0.9877,0.9052,0.9052,0.8283,0.9729,0.9841,0.8991,0.8829,0.9921,0.8909,0.8909,0.8033,0.9681,0.9689,0.9727,0.9738,0.9621,0.9732,0.9732,0.9479,0.982,0.9881,0.9048,0.9223,0.9929,0.9135,0.9135,0.8407,0.9754,0.9835,0.8738,0.8824,0.9908,0.878,0.878,0.7826,0.9612,0.9709,0.9087,0.8924,0.9845,0.9005,0.9005,0.8189,0.9643,0.9894,0.8769,0.8769,0.9945,0.8769,0.8769,0.7808,0.9701,0.996,0.875,0.9333,0.9973,0.9032,0.9032,0.8235,0.9889
